Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-06-20 09:45:00,Fitness Club,-35.0,Monthly fee,Amsterdam,health,Sofia's Spending
2025-06-28 21:00:00,Dinner,-75.0,Dinner out,Leiden,food,Sofia's Spending
2025-04-02 14:15:30,Zara,-89.99,New clothes,Amsterdam,personal,Sofia's Main
2025-04-05 18:45:00,Starbucks,-4.5,Coffee break,Utrecht,food,Sofia's Main
2025-04-10 20:30:00,Cinema,-12.0,Movie night,Rotterdam,entertainment,Sofia's Main
2025-04-15 12:00:00,ASOS,-45.75,Online shopping,Amsterdam,personal,Sofia's Main
2025-05-01 09:00:00,Ahold,-35.25,Groceries,Den Haag,groceries,Sofia's Main
2025-05-05 19:15:45,Uber,-23.0,Ride home,Amsterdam,others,Sofia's Main
2025-05-10 16:30:00,Spotify,-9.99,Monthly subscription,Amsterdam,subscriptions,Sofia's Main
2025-06-01 10:00:00,Nike,-120.0,New sneakers,Amsterdam,personal,Sofia's Main
2025-06-10 17:45:00,Bol.com,-55.0,Books purchase,Utrecht,others,Sofia's Main
2025-06-30 13:00:00,Local Bistro,-40.0,Dinner out,Amsterdam,food,Sofia's Main
2025-04-02 14:23:45,Zara,-89.99,New outfit,Amsterdam,clothing,Sofia's Spending
2025-04-05 17:45:00,Uber Eats,-34.5,Dinner order,Rotterdam,food,Sofia's Spending
2025-04-10 09:15:30,Spotify,-9.99,Monthly subscription,Utrecht,subscriptions,Sofia's Spending
2025-04-12 12:00:00,Amsterdam Coffee,-5.75,Coffee fix,Amsterdam,food,Sofia's Spending
2025-04-20 18:30:00,Cinema City,-15.0,Movie night,The Hague,entertainment,Sofia's Spending
2025-05-01 11:00:00,H&M,-65.0,Spring wardrobe,Amsterdam,clothing,Sofia's Spending
2025-05-10 19:00:00,Dinner at La Rive,-120.5,Fancy dinner,Amsterdam,food,Sofia's Spending
2025-05-15 15:30:00,Nike Store,-150.0,New trainers,Amsterdam,clothing,Sofia's Spending
2025-06-01 13:00:00,Health Spa,-75.0,Spa day,Amsterdam,health,Sofia's Spending
2025-06-15 20:00:00,Concert Tickets,-90.0,Live concert,Amsterdam,entertainment,Sofia's Spending
2025-04-02 14:23:45,Zara,-89.99,Clothing,Amsterdam,personal,Spontaneous Spending
2025-04-10 19:45:12,Café de Jaren,-15.5,Coffee Date,Amsterdam,food,Spontaneous Spending
2025-04-15 12:00:00,Spotify,-9.99,Music Subscription,Amsterdam,subscriptions,Spontaneous Spending
2025-04-20 11:30:05,Pathé,-12.5,Movie Ticket,Amsterdam,entertainment,Spontaneous Spending
2025-05-01 16:15:40,Albert Heijn,-35.75,Groceries,Amsterdam,groceries,Spontaneous Spending
2025-05-08 20:05:15,Airbnb,-250.0,Weekend Getaway,Utrecht,others,Spontaneous Spending
2025-05-15 09:00:00,H&M,-45.0,Fashion Haul,Amsterdam,personal,Spontaneous Spending
2025-06-01 18:25:30,Just Eat,-25.0,Dinner Order,Amsterdam,food,Spontaneous Spending
2025-06-15 11:55:01,Fitness Club,-29.99,Gym Membership,Amsterdam,health,Spontaneous Spending
2025-06-30 21:00:00,ASOS,-75.0,Online Shopping,Amsterdam,personal,Spontaneous Spending
2025-04-02 14:23:45,Zara,-89.99,New Outfit,Amsterdam,others,Sofia's Spending
2025-04-10 18:15:30,Starbucks,-4.75,Coffee Run,Rotterdam,food,Sofia's Spending
2025-04-15 20:45:12,Netflix,-12.99,Subscription,Utrecht,subscriptions,Sofia's Spending
2025-04-22 13:30:00,AH,-45.5,Groceries,The Hague,groceries,Sofia's Spending
2025-05-01 19:00:00,Bioscoop,-15.0,Movie Night,Amsterdam,entertainment,Sofia's Spending
2025-05-10 12:00:00,H&M,-59.99,Clothes Shopping,Eindhoven,others,Sofia's Spending
2025-05-15 08:30:00,Gym Membership,-29.99,Fitness,Amsterdam,health,Sofia's Spending
2025-05-20 16:45:00,El Cid,-35.0,Dinner,Amsterdam,food,Sofia's Spending
2025-06-05 11:00:00,IKEA,-120.0,Home Decor,Amsterdam,others,Sofia's Spending
2025-06-15 21:30:00,Spotify,-9.99,Music Subscription,Amsterdam,subscriptions,Sofia's Spending
2025-04-02 14:23:55,Zara,-89.99,Clothing haul,Amsterdam,personal,Sofia's Main
2025-04-05 18:45:10,Starbucks,-4.75,Coffee break,Utrecht,food,Sofia's Main
2025-04-10 12:30:00,Bol.com,-35.5,Book purchase,Rotterdam,others,Sofia's Main
2025-04-15 19:10:25,Airbnb,-250.0,Weekend getaway,Amsterdam,entertainment,Sofia's Travel
2025-04-20 13:00:00,Uber,-22.5,Night out,The Hague,transport,Sofia's Main
2025-05-01 09:00:00,Spotify,-9.99,Monthly subscription,Amsterdam,subscriptions,Sofia's Main
2025-05-10 17:45:00,H&M,-45.0,Fashion spree,Amsterdam,personal,Sofia's Main
2025-05-15 20:30:00,KFC,-15.5,Dinner treat,Eindhoven,food,Sofia's Main
2025-06-01 10:00:00,Cinema,-12.0,Movie night,Amsterdam,entertainment,Sofia's Main
2025-06-15 08:00:00,Grocery Store,-60.0,Weekly groceries,Amsterdam,groceries,Sofia's Main
