Timestamp,Merchant,Amount,Description,Location,Category,Account
2025-04-02 09:15:00,Salaris BV,2500.0,Maand salaris,Amsterdam,salary,Hoofdrekening
2025-04-05 14:30:00,Albert Heijn,-75.45,Boodschappen,Utrecht,groceries,Hoofdrekening
2025-04-10 18:00:00,Kruidvat,-22.6,Persoonlijke verzorging,Rotterdam,personal,Hoofdrekening
2025-04-15 12:00:00,H&M,-50.0,Kleding aankoop,Den Haag,others,Hoofdrekening
2025-04-20 19:45:00,Pathé,-30.0,Filmavond,Eindhoven,entertainment,Hoofdrekening
2025-05-01 08:00:00,Zorgverzekering,-120.0,Zorgpremie,Amsterdam,health,Hoofdrekening
2025-05-10 16:30:00,DHL,-15.0,Verzendkosten,Utrecht,others,Hoofdrekening
2025-05-15 11:00:00,ING Bank,-200.0,Huis huur,Rotterdam,rent,Hoofdrekening
2025-06-01 09:00:00,Salaris BV,2500.0,Maand salaris,Amsterdam,salary,Hoofdrekening
2025-06-25 20:00:00,Thuisbezorgd,-45.0,Avond eten,Eindhoven,food,Hoofdrekening
2025-04-02 12:30:00,Salary Inc.,3000.0,Monthly Salary,Amsterdam,salary,Main Account
2025-04-05 14:15:00,Albert Heijn,-45.75,Groceries,Utrecht,groceries,Main Account
2025-04-10 18:00:00,Kinepolis,-15.0,Movie Ticket,Rotterdam,entertainment,Main Account
2025-04-12 09:00:00,Zorgverzekeraar,-120.0,Health Insurance,Amsterdam,health,Main Account
2025-04-20 16:45:00,H&M,-75.5,Clothing,The Hague,personal,Main Account
2025-05-01 12:00:00,Rent Co.,-1200.0,Monthly Rent,Amsterdam,rent,Main Account
2025-05-15 11:30:00,ABN AMRO,-5.99,Bank Fee,Amsterdam,finance,Main Account
2025-05-22 13:00:00,Spotify,-9.99,Subscription Fee,Amsterdam,subscriptions,Main Account
2025-06-05 15:00:00,Bol.com,-30.0,Books Purchase,Amsterdam,others,Main Account
2025-06-30 08:00:00,Salary Inc.,3000.0,Monthly Salary,Amsterdam,salary,Main Account
